,A09B4,D07D2,F05E5,J06S6,J07B1,M09C2,W05Z5,W07N6,,,,,,,,,,
A09B4,DI Rinse,DI Rinse,DI Rinse,Boilout,DI Rinse,DI Rinse,DI Rinse - Long,DI Rinse - Long,,,,,,,,,,
D07D2,DI Rinse - Long,DI Rinse,DI Rinse,Boilout,DI Rinse,DI Rinse,DI Rinse,DI Rinse,,,,,,,,,,
F05E5,DI Rinse - Long,DI Rinse,DI Rinse,Boilout,DI Rinse,DI Rinse,DI Rinse,DI Rinse,,,,,,,,,,
J06S6,KOH Wash,Boilout,Boilout,DI Rinse,KOH Wash,KOH Wash,Boilout,Boilout,,,,,,,,,,
J07B1,DI Rinse,DI Rinse - Long,DI Rinse - Long,Boilout,DI Rinse,DI Rinse,DI Rinse - Long,DI Rinse - Long,,,,,,,,,,
M09C2,DI Rinse,DI Rinse,DI Rinse,Boilout,DI Rinse,DI Rinse,DI Rinse,DI Rinse,,,,,,,,,,
W05Z5,KOH Wash,Boilout,Boilout,Boilout,KOH Wash,KOH Wash,DI Rinse - Long,Boilout,,,,,,,,,,
W07N6,DI Rinse,DI Rinse,DI Rinse,Boilout,DI Rinse,DI Rinse,DI Rinse,DI Rinse,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
